name,author,isbn_10,isbn_13,image,locations_book_id,locations_site_id,price,prices_book_id,site_prices_site_id,site_prices_price_id
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman, 080241270X, 978-0802412706,"https://images-na.ssl-images-amazon.com/images/I/51rV-3xwEJL._SX321_BO1,204,203,200_.jpg",965732143,1, 11.49,965732143,1,549172980
The Cubs Way: The Zen of Building the Best Team in Baseball and Breaking the Curse,Tom Verducci, 0804190011, 978-0804190015,"https://images-na.ssl-images-amazon.com/images/I/51FPya6%2B7cL._SY344_BO1,204,203,200_.jpg",876568257,1, 6.50,876568257,1,524376844
The Enigma of the Owl: An Illustrated Natural History,"Mike Unwin, David Tipling, Tony Angell, & 
                 , 
                 more", 0300222734, 978-0300222739,"https://images-na.ssl-images-amazon.com/images/I/51Nm-eh5fRL._SX258_BO1,204,203,200_.jpg",1926640455,1, 6.50,1926640455,1,962688679
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",, 0692597832, 978-0692597835,"https://images-na.ssl-images-amazon.com/images/I/61bpWdb5dQL._SY498_BO1,204,203,200_.jpg",305489189,1, 0.99,305489189,1,451620266
Strong Is the New Pretty: A Celebration of Girls Being Themselves,Kate T. Parker, 0761189130, 978-0761189138,"https://images-na.ssl-images-amazon.com/images/I/51pSVxVSneL._SX258_BO1,204,203,200_.jpg",537907888,1, 27.69,537907888,1,1674595997
The Legend of Zelda: Art & Artifacts,Nintendo, 1506703356, 978-1506703350,"https://images-na.ssl-images-amazon.com/images/I/51RKB-xotzL._SX258_BO1,204,203,200_.jpg",1537800749,1, 6.50,1537800749,1,148808421
The Bob's Burgers Burger Book: Real Recipes for Joke Burgers,"Loren Bouchard, Bob's Burgers, Cole Bowden, & 
                 , 
                 more", 0789331144, 978-0789331144,"https://images-na.ssl-images-amazon.com/images/I/51y10XEzljL._SY344_BO1,204,203,200_.jpg",1045938931,1, 6.88,1045938931,1,581523278
"Creative Lettering and Beyond: Inspiring tips, techniques, and ideas for hand lettering your way to beautiful works of art (Creative...and Beyond)","Gabri Joy Kirkendall, Laura Lavender, Julie Manwaring, Shauna Lynn Panczyszyn, & 
                 , 
                 more", 1600583970, 978-1600583971,"https://images-na.ssl-images-amazon.com/images/I/61IacDxIhnL._SY344_BO1,204,203,200_.jpg",1357494524,1, 6.50,1357494524,1,730873093
Born a Crime: Stories from a South African Childhood,Trevor Noah, 0399588175, 978-0399588174,"https://images-na.ssl-images-amazon.com/images/I/51wOVpPbfgL._SX327_BO1,204,203,200_.jpg",1095149475,1, 11.51,1095149475,1,718883092
The Most Beautiful: My Life with Prince,Mayte Garcia, 0316468975, 978-0316468978,"https://images-na.ssl-images-amazon.com/images/I/51J4BGEiYvL._SX328_BO1,204,203,200_.jpg",1287262304,1, 11.95,1287262304,1,539286106
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō," Ten Speed Press; 1st edition (October 14, 2014)", 1607747308,"https://images-na.ssl-images-amazon.com/images/I/51MF3u-JPAL._SX348_BO1,204,203,200_.jpg",1024709010,1, 2.51,1024709010,1,482232827
Portraits of Courage: A Commander in Chief's Tribute to America's Warriors,"George W. Bush, Laura Bush, General Peter Pace, & 
                 , 
                 more", 0804189765, 978-0804189767,"https://images-na.ssl-images-amazon.com/images/I/61mS2k8xb9L._SX393_BO1,204,203,200_.jpg",215338420,1, 13.45,215338420,1,379314813
Bushcraft 101: A Field Guide to the Art of Wilderness Survival,Dave Canterbury, 1440579776, 978-1440579776,"https://images-na.ssl-images-amazon.com/images/I/517wBf%2BXvcL._SX324_BO1,204,203,200_.jpg",106310086,1, 5.77,106310086,1,315551570
Strong Is the New Pretty: A Celebration of Girls Being Themselves,Kate T. Parker, 0761189130, 978-0761189138,"https://images-na.ssl-images-amazon.com/images/I/51pSVxVSneL._SX258_BO1,204,203,200_.jpg",1464095453,1, 27.69,1464095453,1,1335007699
"Becoming a Supple Leopard 2nd Edition: The Ultimate Guide to Resolving Pain, Preventing Injury, and Optimizing Athletic Performance","Kelly Starrett, Glen Cordoza", 1628600837, 978-1628600834,"https://images-na.ssl-images-amazon.com/images/I/51422QSgufL._SX389_BO1,204,203,200_.jpg",344753359,1, 30.68,344753359,1,1459446701
The Enigma of the Owl: An Illustrated Natural History,"Mike Unwin, David Tipling, Tony Angell, & 
                 , 
                 more", 0300222734, 978-0300222739,"https://images-na.ssl-images-amazon.com/images/I/51Nm-eh5fRL._SX258_BO1,204,203,200_.jpg",1839580916,1, 6.50,1839580916,1,542979172
Golden: The Miraculous Rise of Steph Curry,Marcus Thompson, 1501147838, 978-1501147838,"https://images-na.ssl-images-amazon.com/images/I/51tYpPiTZvL._SY344_BO1,204,203,200_.jpg",9967883,1, 6.50,9967883,1,90214814
Hamilton: The Revolution,"Lin-Manuel Miranda, Jeremy McCarter"," Grand Central Publishing; First Edition edition (April 12, 2016)", 1455539740,"https://images-na.ssl-images-amazon.com/images/I/51PK6V0aiOL._SX258_BO1,204,203,200_.jpg",704016443,1, 6.50,704016443,1,565432483
The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,"John Gottman PhD, Nan Silver", 0553447718, 978-0553447712,"https://images-na.ssl-images-amazon.com/images/I/51VKDJaCnPL._SX322_BO1,204,203,200_.jpg",178600603,1, 4.70,178600603,1,1626569847
The Berenstain Bears and the Easter Story: Stickers Included! (Berenstain Bears/Living Lights),"Mike Berenstain, Jan Berenstain", Berenstain Bears/Living Lights, 32 pages,"https://images-na.ssl-images-amazon.com/images/I/61nDhMxhXTL._SX496_BO1,204,203,200_.jpg",114634235,1, 0.25,114634235,1,1154987138
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",Eric Matthes, 1593276036, 978-1593276034,"https://images-na.ssl-images-amazon.com/images/I/51-u3J3mtTL._SX258_BO1,204,203,200_.jpg",1784102634,1, 6.50,1784102634,1,500622215
"Grace Within: An Inspirational Adult Coloring Book (Christian Coloring, Bible Journaling and Lettering: Inspirational Gifts)","Eva Marie, Paige Tate Select", 1944515364, 978-1944515362,"https://images-na.ssl-images-amazon.com/images/I/51oQ-U0FoCL._SX398_BO1,204,203,200_.jpg",1005645907,1, 6.50,1005645907,1,1237458192
A Snarky Mandala Coloring Book: Mandalas? Meh: Midnight Edition (Humorous Coloring Books For Grown-Ups),Papeterie Bleu Adult Coloring Books, 194588830X, 978-1945888304,"https://images-na.ssl-images-amazon.com/images/I/61ZoJWzmlIL._SX384_BO1,204,203,200_.jpg",703312711,1, 3.19,703312711,1,1613241440
Mandalas Adult Coloring Book Set With 24 Colored Pencils And Pencil Sharpener Included: Color Your Way To Calm,Newbourne Media," Newbourne Media (June 1, 2016)", 198813725X,"https://images-na.ssl-images-amazon.com/images/I/61zoe4yAsQL._SX258_BO1,204,203,200_.jpg",67774096,1, 5.03,67774096,1,1267210128
How to Be a Bawse: A Guide to Conquering Life,Lilly Singh, 0425286460, 978-0425286463,"https://images-na.ssl-images-amazon.com/images/I/51z39-iJACL._SY344_BO1,204,203,200_.jpg",759733720,1, 9.73,759733720,1,1457422588
Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,Margot Lee Shetterly, 0062363603, 978-0062363602,"https://images-na.ssl-images-amazon.com/images/I/51djfmjGagL._SX330_BO1,204,203,200_.jpg",1748715793,1, 12.00,1748715793,1,1323955701
Swear Word Coloring Book: The Jungle Adult Coloring Book featured with Sweary Words & Animals,Rainbow Coloring, 1530428017, 978-1530428014,"https://images-na.ssl-images-amazon.com/images/I/51QDZY1vCEL._SX384_BO1,204,203,200_.jpg",249618896,1, 2.25,249618896,1,1233906808
Hand Lettering 101: An Introduction to the Art of Creative Lettering,"Chalkfulloflove, Paige Tate Select", 1944515658, 978-1944515652,"https://images-na.ssl-images-amazon.com/images/I/51tG3tNAQiL._SY498_BO1,204,203,200_.jpg",364707632,1, 6.50,364707632,1,1480576399
The Legend of Zelda: Hyrule Historia,"Patrick Thorpe, Michael Gombos, Takahiro Moriki, Heidi Plechl, Kumar Sivasubramanian, Aria Tanner, John Thomas, & 
                 , 
                 more", 1616550414, 978-1616550417,"https://images-na.ssl-images-amazon.com/images/I/51y0L8DFNUL._SY344_BO1,204,203,200_.jpg",628383341,1, 2.50,628383341,1,1679915809
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,Deborah Schecter, 0545231493, 978-0545231497,"https://images-na.ssl-images-amazon.com/images/I/51ZHWnrhkHL._SX258_BO1,204,203,200_.jpg",1055851774,1, 9.20,1055851774,1,85645414
